"municipality_id","estrana","votes","pct_votes","okres"
"500224",16,181,0.63,"CZ0100"
"500224",17,18,0.06,"CZ0100"
"500224",18,7,0.02,"CZ0100"
"500224",19,46,0.16,"CZ0100"
"500224",21,6,0.02,"CZ0100"
"500224",22,29,0.1,"CZ0100"
"500224",23,22,0.08,"CZ0100"
"500224",24,1000,3.48,"CZ0100"
"500224",25,213,0.74,"CZ0100"
"500224",26,5790,20.13,"CZ0100"
"500224",27,5638,19.6,"CZ0100"
"500224",28,1669,5.8,"CZ0100"
"500224",29,24,0.08,"CZ0100"
"500224",30,4080,14.19,"CZ0100"
"500224",31,31,0.11,"CZ0100"
"500224",32,5,0.02,"CZ0100"
"500224",33,3,0.01,"CZ0100"
"500224",34,146,0.51,"CZ0100"
"500224",35,26,0.09,"CZ0100"
"500224",36,35,0.12,"CZ0100"
"500224",37,414,1.44,"CZ0100"
"500224",38,4,0.01,"CZ0100"
"500224",39,1288,4.48,"CZ0100"
"500224",40,128,0.45,"CZ0100"
"538060",1,1,0.14,"CZ0100"
"538060",2,1,0.14,"CZ0100"
"538060",3,4,0.57,"CZ0100"
"538060",5,178,25.36,"CZ0100"
"538060",6,8,1.14,"CZ0100"
"538060",7,9,1.28,"CZ0100"
"538060",9,25,3.56,"CZ0100"
"538060",10,2,0.28,"CZ0100"
"538060",12,4,0.57,"CZ0100"
"538060",13,1,0.14,"CZ0100"
"538060",15,2,0.28,"CZ0100"
"538060",16,3,0.43,"CZ0100"
"538060",19,6,0.85,"CZ0100"
"538060",24,26,3.7,"CZ0100"
"538060",25,6,0.85,"CZ0100"
"538060",26,128,18.23,"CZ0100"
"538060",27,81,11.54,"CZ0100"
"538060",28,41,5.84,"CZ0100"
"538060",29,1,0.14,"CZ0100"
"538060",30,105,14.96,"CZ0100"
"538060",31,3,0.43,"CZ0100"
"538060",32,1,0.14,"CZ0100"
"538060",34,7,1,"CZ0100"
"538060",36,3,0.43,"CZ0100"
"538060",37,19,2.71,"CZ0100"
"538060",39,30,4.27,"CZ0100"
"538060",40,7,1,"CZ0100"
"538078",5,40,18.96,"CZ0100"
"538078",6,1,0.47,"CZ0100"
"538078",7,9,4.27,"CZ0100"
"538078",9,4,1.9,"CZ0100"
"538078",12,1,0.47,"CZ0100"
"538078",14,2,0.95,"CZ0100"
"538078",15,1,0.47,"CZ0100"
"538078",16,1,0.47,"CZ0100"
"538078",19,1,0.47,"CZ0100"
"538078",24,13,6.16,"CZ0100"
"538078",25,3,1.42,"CZ0100"
"538078",26,47,22.27,"CZ0100"
"538078",27,36,17.06,"CZ0100"
"538078",28,9,4.27,"CZ0100"
"538078",30,27,12.8,"CZ0100"
"538078",34,2,0.95,"CZ0100"
"538078",37,3,1.42,"CZ0100"
"538078",39,8,3.79,"CZ0100"
"538078",40,3,1.42,"CZ0100"
"538124",2,6,1.61,"CZ0100"
"538124",3,2,0.54,"CZ0100"
"538124",5,85,22.85,"CZ0100"
"538124",6,2,0.54,"CZ0100"
"538124",7,11,2.96,"CZ0100"
"538124",8,1,0.27,"CZ0100"
"538124",9,13,3.49,"CZ0100"
"538124",12,1,0.27,"CZ0100"
"538124",13,2,0.54,"CZ0100"
"538124",16,5,1.34,"CZ0100"
"538124",19,1,0.27,"CZ0100"
"538124",24,42,11.29,"CZ0100"
"538124",25,4,1.08,"CZ0100"
"538124",26,71,19.09,"CZ0100"
"538124",27,58,15.59,"CZ0100"
"538124",28,17,4.57,"CZ0100"
"538124",30,41,11.02,"CZ0100"
"538124",34,1,0.27,"CZ0100"
"538124",37,1,0.27,"CZ0100"
"538124",39,7,1.88,"CZ0100"
"538124",40,1,0.27,"CZ0100"
"538175",1,1,0.12,"CZ0100"
"538175",2,2,0.25,"CZ0100"
"538175",4,1,0.12,"CZ0100"
"538175",5,196,24.2,"CZ0100"
"538175",6,7,0.86,"CZ0100"
"538175",7,12,1.48,"CZ0100"
"538175",9,17,2.1,"CZ0100"
"538175",12,6,0.74,"CZ0100"
"538175",13,2,0.25,"CZ0100"
"538175",15,1,0.12,"CZ0100"
"538175",16,8,0.99,"CZ0100"
"538175",23,1,0.12,"CZ0100"
"538175",24,25,3.09,"CZ0100"
"538175",25,3,0.37,"CZ0100"
"538175",26,163,20.12,"CZ0100"
"538175",27,148,18.27,"CZ0100"
"538175",28,35,4.32,"CZ0100"
"538175",30,104,12.84,"CZ0100"
"538175",31,1,0.12,"CZ0100"
"538175",34,3,0.37,"CZ0100"
"538175",36,3,0.37,"CZ0100"
"538175",37,9,1.11,"CZ0100"
"538175",39,57,7.04,"CZ0100"
"538175",40,5,0.62,"CZ0100"
"538205",1,1,0.09,"CZ0100"
"538205",2,7,0.66,"CZ0100"
"538205",3,5,0.47,"CZ0100"
"538205",4,2,0.19,"CZ0100"
"538205",5,240,22.64,"CZ0100"
